No,FECHA1,FECHA2,DIAS,Dias2,NIVEL(cms),CAUDAL_LIQUIDO(m3/s),GASTO_SOLIDO(Kg/s),Sed _rate(mm/yr),CONCENTRACION_MEDIA(Kg/m3),CONCENTRACION_SUPERFICIAL(Kg/m3)
1,19840223,30735,30735,0,18,0.16,0.002,0.00019498,0.009,0.008
2,19840407,30779,30779,44,19,0.102,0.001,9.74899E-05,0.006,0.001
3,19840415,30787,30787,52,22,0.26,0.003,0.00029247,0.012,0.018
4,19840529,30831,30831,96,31,1.52,0.049,0.004777005,0.033,0.036
5,19840807,30901,30901,166,40,1.83,0.026,0.002534737,0.014,0.009
6,19840830,30924,30924,189,36,1.303,0.011,0.001072389,0.008,0.011
7,19841006,30961,30961,226,43,2.453,0.01,0.000974899,0.004,0.004
8,19841025,30980,30980,245,43,2.682,0.037,0.003607126,0.014,0.015
9,19850402,31139,31139,404,20,0.326,0.01,0.000974899,0.032,0.005
10,19850804,31263,31263,528,19,0.249,0.005,0.00048745,0.021,0.027
11,19851129,31380,31380,645,43,2.24,0.039,0.003802106,0.017,0.013
12,19860201,31444,31444,709,34,0.85,0.014,0.001364859,0.017,0.013
13,19861011,31696,31696,961,48,2.96,0.188,0.018328102,0.063,0.08
14,19870204,31812,31812,1077,17,0.16,0.008,0.000779919,0.048,0.021
15,19870802,31991,31991,1256,39,1.53,0.03,0.002924697,0.02,0.017
16,19870929,32049,32049,1314,37,0.5,0.011,0.001072389,0.022,0.017
17,19871202,32113,32113,1378,40,1.7,0.053,0.005166965,0.031,0.035
18,19880521,32284,32284,1549,25,0.35,0.013,0.001267369,0.037,0.019
19,19880914,32400,32400,1665,43,2.41,0.027,0.002632227,0.011,0.006
20,19881113,32460,32460,1725,40,2.09,0.102,0.00994397,0.049,0.043
21,19890507,32635,32635,1900,27,0.53,0.017,0.001657328,0.031,0.014
22,19891016,32797,32797,2062,27,0.54,0.058,0.005654414,0.108,0.047
23,19891215,32857,32857,2122,28,0.58,0.029,0.002827207,0.05,0.153
24,19900320,32952,32952,2217,19,0.16,0.007,0.000682429,0.041,0.051
25,19900722,33076,33076,2341,19,0.173,0.015,0.001462349,0.089,0.021
26,19910915,33496,33496,2761,16,0.05,0.001,9.74899E-05,0.008,0.025
27,19911124,33566,33566,2831,34,0.92,0.014,0.001364859,0.015,0.15
28,19920707,33792,33792,3057,18,0.132,0.002,0.00019498,0.012,0.01
29,19920930,33877,33877,3142,28,0.49,0.008,0.000779919,0.017,0.042
30,19930706,34156,34156,3421,24,0.35,0.04,0.003899596,0.113,0.03
31,19930925,34237,34237,3502,37,1.35,0.044,0.004289556,0.033,0.035
32,19931212,34315,34315,3580,25,0.49,0.015,0.001462349,0.03,0.031
33,19941101,34639,34639,3904,28,0.28,0.009,0.000877409,0.033,0.047
34,19950712,34892,34892,4157,22,0.36,0.066,0.006434334,0.182,0.041
35,19950907,34949,34949,4214,39,2.06,0.153,0.014915955,0.074,0.092
36,19951012,34984,34984,4249,87,14.12,0.888,0.086571035,0.063,0.054
37,19951106,35009,35009,4274,24,0.53,0.03,0.002924697,0.057,0.051
38,19960304,35128,35128,4393,14,0.14,0.01,0.000974899,0.07,0.045
39,19960514,35199,35199,4464,16,0.15,0.006,0.000584939,0.04,0.045
40,19970310,35499,35499,4764,14,0.14,0.006,0.000584939,0.045,0.073
41,19980430,35915,35915,5180,11,0.106,0.005,0.00048745,0.046,0.048
42,19980527,35942,35942,5207,18,0.652,0.025,0.002437248,0.039,0.04
43,19981007,36075,36075,5340,35,1.523,0.025,0.002437248,0.017,0.097
44,19981031,36099,36099,5364,46,2.126,0.028,0.002729717,0.013,0.012
45,19990303,36222,36222,5487,32,1.373,0.179,0.017450693,0.13,0.023
46,19990409,36259,36259,5524,62,2.745,0.286,0.027882112,0.104,0.049
47,19990512,36292,36292,5557,25,0.647,0.007,0.000682429,0.01,0.01
48,19990619,36330,36330,5595,60,2.421,0.05,0.004874495,0.021,0.02
49,19990814,36386,36386,5651,73,3.466,0.26,0.025347375,0.075,0.072
50,19991026,36459,36459,5724,40,1.329,0.02,0.001949798,0.015,0.012
51,20000331,36616,36616,5881,36,1.423,0.023,0.002242268,0.016,0.013
52,20000715,36722,36722,5987,22,0.387,0.006,0.000584939,0.017,0.019
53,20001205,36865,36865,6130,35,1.482,0.043,0.004192066,0.029,0.016
54,20010406,36987,36987,6252,13,0.091,0.001,9.74899E-05,0.012,0.014
55,20030329,37709,37709,6974,12,0.196,0.001,9.74899E-05,0.005,0.004
56,20040312,38058,38058,7323,17,0.206,0.005,0.00048745,0.027,0.013
57,20040806,38205,38205,7470,23,0.306,0.007,0.000682429,0.023,0.013
58,20040809,38208,38208,7473,23,0.306,0.007,0.000682429,0.023,0.013
59,20050416,38458,38458,7723,26,0.458,0.004,0.00038996,0.009,0.016
